"","data.stations.name","reportada_anterior","ultimo_reportado","diferencia_reportada_period","diferencia_reportada_int"
"1","007 - OBELISCO",2019-07-31 15:27:47,2019-08-01 06:27:00,14H 59M 13S,53953
"2","007 - OBELISCO",2019-08-14 02:39:20,2019-08-14 07:26:03,4H 46M 43S,17203
"3","007 - OBELISCO",2019-08-22 03:48:13,2019-08-22 17:57:16,14H 9M 3S,50943
"4","014 - Pacifico",2019-07-30 06:24:38,2019-07-30 16:36:36,10H 11M 58S,36718
"5","014 - Pacifico",2019-07-30 17:05:06,2019-07-30 19:04:06,1H 59M 0S,7140
"6","014 - Pacifico",2019-07-30 22:14:18,2019-07-31 16:27:43,18H 13M 25S,65605
"7","014 - Pacifico",2019-08-01 09:52:43,2019-08-01 15:53:33,6H 0M 50S,21650
"8","035 - INGENIERO BUTTY",2019-07-30 21:58:58,2019-07-31 07:19:22,9H 20M 24S,33624
"9","035 - INGENIERO BUTTY",2019-08-22 15:05:55,2019-08-22 16:58:13,1H 52M 18S,6738
"10","035 - INGENIERO BUTTY",2019-08-23 14:12:36,2019-08-24 19:29:29,1d 5H 16M 53S,105413
"11","055 - Bouchard",2019-07-30 11:12:49,2019-07-30 13:06:47,1H 53M 58S,6838
"12","055 - Bouchard",2019-07-30 13:11:14,2019-07-30 15:07:12,1H 55M 58S,6958
"13","055 - Bouchard",2019-07-30 21:09:34,2019-07-31 07:17:09,10H 7M 35S,36455
"14","055 - Bouchard",2019-08-01 09:46:06,2019-08-01 18:18:41,8H 32M 35S,30755
"15","055 - Bouchard",2019-08-02 08:57:32,2019-08-02 15:27:18,6H 29M 46S,23386
"16","098 - Belgrano y roca",2019-07-30 21:16:02,2019-07-31 06:46:26,9H 30M 24S,34224
"17","098 - Belgrano y roca",2019-07-31 06:55:15,2019-08-01 07:43:10,1d 0H 47M 55S,89275
"18","098 - Belgrano y roca",2019-08-01 07:43:10,2019-08-01 08:53:58,1H 10M 48S,4248
"19","098 - Belgrano y roca",2019-08-06 19:33:32,2019-08-07 11:22:04,15H 48M 32S,56912
"20","098 - Belgrano y roca",2019-08-07 11:22:04,2019-08-07 17:56:01,6H 33M 57S,23637
"21","098 - Belgrano y roca",2019-08-21 18:04:37,2019-08-22 08:26:52,14H 22M 15S,51735
"22","114 - DELLA PAOLERA",2019-08-01 01:15:55,2019-08-01 03:54:08,2H 38M 13S,9493
"23","114 - DELLA PAOLERA",2019-08-08 12:43:57,2019-08-08 14:04:08,1H 20M 11S,4811
"24","114 - DELLA PAOLERA",2019-08-13 12:34:17,2019-08-13 14:44:11,2H 9M 54S,7794
"25","114 - DELLA PAOLERA",2019-08-13 14:44:11,2019-08-13 15:59:34,1H 15M 23S,4523
"26","152 - JULIETA LANTERI",2019-07-31 03:21:01,2019-07-31 04:44:43,1H 23M 42S,5022
